Title,Address,Headline Room Type,Cost (AUD),Review Score,# of Reviews
Econo Lodge Rivervale,Perth,Standard Queen Room,161,7.2,2004
The Morrison Motel,Swan View,Queen Room,164,9.0,182
Observatory Guesthouse - Adults Only,Busselton,The Eagle Bay Room,164,8.0,833
Tasman Holiday Parks - Denham Seaside,Denham,One-Bedroom Chalet,165,8.4,279
Adamsons Riverside Accommodation,Margaret River Town,Queen Room with Balcony,165,8.2,1306
Esperance Beachfront Resort,Esperance,One-Bedroom Unit,165,8.3,741
The Rose Hotel & Motel,Bunbury,Queen Room,165,8.1,1046
Lavender House York,York,Queen Room,165,8.9,212
ibis Perth,"Perth CBD, Perth",Standard Double Room,167,7.8,155
Discovery Parks - Woodman Point,Coogee,Standard Studio Room,168,8.4,330
Quality Hotel Ambassador Perth,"Perth CBD, Perth",Standard Queen Room,169,7.1,2037
Clifton Motel & Grittleton Lodge,Bunbury,Standard Twin Room,169,8.1,2336
Comfort Inn & Suites Goodearth Perth,"Perth CBD, Perth",Standard Queen Studio Suite,169,6.7,1024
The View On Hannans Kalgoorlie,Kalgoorlie,Business Queen Room,169,7.6,363
Metro Hotel Perth City,"Perth CBD, Perth",Standard Queen Room,170,6.9,774
The Local Hotel,"South Fremantle, Fremantle",Double Room with Shared Bathroom,170,8.5,369
The Pemberton Hotel,Pemberton,Triple Room,170,7.7,1228
Cervantes Pinnacles Motel,Cervantes,Standard Double Room,170,7.5,1738
Lakeside Bed & Breakfast,"Leederville, Perth",Deluxe Queen Room,170,8.6,259
"Kalgoorlie, Unit 2, Golden Patch Retreat",Boulder,Two-Bedroom Apartment,170,5.5,19
Perth City Apartment Hotel,"West Perth, Perth",One Bedroom Apartment Queen Bed,170,4.6,594
Mantra Bunbury,Bunbury,Standard Room with One King and One Single Beds,170,6.9,1728
Perth Ascot Central Apartment Hotel Official,"Ascot, Perth",Studio Apartment,171,7.1,1173
The Bridgetown Hotel,Bridgetown,Queen Room,171,8.2,509
Jurien Bay Hotel Motel,Jurien Bay,Standard Double or Twin Room,172,7.1,919
Australia Hotel Fremantle,Fremantle,Large Twin Room with Communal Bathroom,173,7.2,474
3 bedroom house perfect for work,Merredin,Three-Bedroom House,173,N/A,N/A
A charming Hampton-style home offering private room located Ten minutes from Fremantle's Sapphire Port,Hamilton Hill,Double Room with Shared Bathroom,173,9.7,3
Roebuck Bay Hotel,Broome,Standard Double or Twin Room,173,7.4,667
Baileys Parkside Motel by VetroBlu,"Perth CBD, Perth",Double Room,174,7.7,1539
Discovery Parks - Coogee Beach,Coogee,Economy Studio Room,174,8.1,649
Discovery Resorts - Lake Argyle,Lake Argyle,Standard Studio Cabin - Sleeps 5,174,8.7,258
Discovery Parks - Swan Valley,Caversham,Standard Studio Cabin - Pet Friendly,174,8.6,855
The York Palace Accommodation,York,King Room,174,8.2,218
Avon Homestay,Northam,Double Room with Shared Bathroom,175,9.2,17
"Hospitality Kalgoorlie, SureStay Collection by Best Western",Kalgoorlie,Standard Queen Room,175,7.7,1366
Mercure Perth,"Perth CBD, Perth",Classic Queen Room,175,7.0,1381
Travellers Rest Motel,Mundaring,Bush Retreat Overnight Unit - No Pet Friendly,175,7.6,341
Flag Motor Lodge,Perth,Double Room,175,7.7,4309
Fairbridge Village,Pinjarra,Queen Studio,176,8.1,147
Archipelago Apartments Esperance,Esperance,One-Bedroom Apartment,176,8.0,429
Hopetoun Motel & Chalet Village,Hopetoun,Standard Double Room,178,7.4,403
Mantra on Hay Perth,"Perth CBD, Perth",Hotel Room,178,7.3,2064
a perfect weekend getaway,Rockingham,One-Bedroom Apartment,178,9.7,14
ibis Styles Geraldton,Geraldton,Standard Queen Room,179,7.2,527
Wildsights Beach Units,Denham,One-Bedroom Apartment,179,7.4,160
Novotel Perth Langley,"Perth CBD, Perth",Standard Queen Room,180,7.3,2138
Mandurah Foreshore Motel,Mandurah,Queen Room,180,7.9,1424
Carnarvon Central Apartments,Carnarvon,Apartment,180,8.2,679
Ascot on Swan Bed & Breakfast,"Ascot, Perth",Deluxe Queen Suite,180,9.5,440
Beadon Bay Hotel,Onslow,Queen Room with Balcony,180,7.8,129
The Stirling Arms Hotel,Perth,Superior King Suite,180,7.8,718
Emu Point Motel,Albany,Classic Studio,180,8.8,481
Ivanhoe Resort,Kununurra,One-Bedroom Suite,180,7.5,229
The Rec Hotel Waroona,Waroona,Double Room with Shared Bathroom,180,7.8,20
Holiday house,Coodanup,One-Bedroom House,180,N/A,N/A
Peaceful Chalet Zari,Balingup,Two-Bedroom Chalet,181,N/A,N/A
"Hospitality Carnarvon, SureStay Collection by Best Western",Carnarvon,Standard Queen Room,182,7.9,1949
RAC Cable Beach Holiday Park,Broome,Studio Cabin,183,8.8,163
Pensione Hotel Perth,"Perth CBD, Perth",Petite Queen Room,183,8.2,1927
The Rec Hotel,Northam,Deluxe Queen Room with Shared Bathroom,183,8.1,812
Port Gregory Caravan Park,Gregory,Economy Quadruple Room,184,8.4,217
Wavecrest Village & Tourist Park WA,Hopetoun,Three-Bedroom House,184,8.1,571
Albany Holiday Units,Albany,Studio,184,8.5,872
Gallery Hotel Manjimup,Manjimup,King Room - Disability Access,185,8.5,122
Fremantle Village,"South Fremantle, Fremantle",Motel Unit with External Bathroom,185,8.1,947
Bremer Bay Resort,Bremer Bay,Standard Queen Room,185,8.3,1097
Karribank,Porongurup,Chalet,185,8.1,121
Dongara Hotel Motel,Dongara,Queen Room,185,8.0,422
Bayside Holiday Apartments,Broome,One-Bedroom Apartment,185,8.3,353
Discovery Parks - Bunbury Foreshore,Bunbury,Economy Studio (External Ensuite),185,8.6,763
Discovery Parks - Carnarvon,Carnarvon,Standard 1 Bedroom Cabin - Sleeps 3,186,8.3,364
Country Comfort Perth,Perth,Executive King Room,186,8.3,5846
Pelican Point Waterfront Resort formerly Carnarvon Beach Retreat,Carnarvon,One-Bedroom Apartment,187,7.6,398
ibis Styles East Perth,"East Perth, Perth",Standard King Room,188,8.1,2655
Havana Villas,Albany,Two-Bedroom Chalet,188,8.6,638
Great Eastern Motor Lodge,Perth,Queen Suite,189,7.9,4624
Atrium Hotel Mandurah,Mandurah,Standard Queen with Free Wifi and Parking,189,6.8,5135
Ocean View Villas,Geraldton,Queen Studio,189,7.5,378
Astoria Retreat Bed & Breakfast,Perth,Gold Room,189,7.7,45
Carnarvon Motel,Carnarvon,Classic Double/Twin Room,190,8.0,1225
RAC Exmouth Cape Holiday Park,Exmouth,2 Bedroom Double – External Bathroom,190,8.5,368
The Colliefields Hotel,Collie,Suite,190,1.0,1
Holiday Inn West Perth by IHG,"West Perth, Perth",Standard Queen Room,191,8.5,925
Broome Time Resort,Broome,Deluxe Queen Room,191,7.6,962
Blue Moon Forest Lodge,Yanmah,Four-Bedroom House,192,9.3,3
The Blue Lagoon poolside retreat,Cable Beach,Double Room with Pool View,193,N/A,N/A
Mandurah Caravan and Tourist Park,Mandurah,One-bedroom Chalet with Private Bathroom,193,8.8,36
"Prince of Wales Hotel, Bunbury",Bunbury,Standard Double Room,194,7.3,779
Busselton Motel,Busselton,Standard Queen Room,194,8.1,968
Kimberley Hotel,Halls Creek,Standard Double Room,195,7.9,383
Barrabup Sanctuary BirdHide,Nannup,Deluxe King Studio,195,8.2,133
The Noble Grape Guesthouse,Cowaramup,King Room,195,9.5,364
Dampier Mermaid Hotel Karratha,Dampier,Basic Double Room,195,6.1,438
Koombana Retreat,Perth,Deluxe Suite,195,9.5,35
Jurien Bay Motel Apartments,Jurien Bay,Studio Apartment,196,8.5,2539
Tree Top Walk Motel,Walpole,Deluxe Queen Room,196,7.8,939
Ocean Drive Motel,Bunbury,Budget Double or Twin Room,196,7.8,78
Number 47 Riverview,Kalbarri,Two-Bedroom Apartment,198,N/A,N/A
Seaspray Beach Holiday Park,Dongara,Budget Double Room,198,8.0,540
Indian Ocean Hotel,"Scarborough, Perth",Standard Double Room,198,7.3,1074
Doubletree By Hilton Perth Northbridge,"Northbridge, Perth",Twin Room,199,8.4,3284
Ocean View Motel,Perth,Standard Room,199,7.7,956
Quay Perth,"Perth CBD, Perth",Standard Queen Room - Perth Essential,199,8.5,2217
Sanno Marracoonda Perth Airport Hotel,"Redcliffe, Perth",Standard Queen Room,199,7.9,5525
European Hotel,"Perth CBD, Perth",Standard Twin Room,200,8.0,1624
Best Beach Villa,Denham,Two-Bedroom Villa,200,7.8,149
Halls Creek Motel,Halls Creek,Cabin Double Room,200,6.6,195
Red Sands Accommodation Newman,Newman,Deluxe Double Room,200,6.4,234
Unit 4 3 Mouarn St Carey Park,Glen Iris,One-Bedroom House,202,9.4,58
Quality Hotel Bayswater,Perth,Standard Queen Room,203,7.7,988
Airport Apartments by Vetroblu,"Redcliffe, Perth",One-Bedroom Apartment with Balcony,203,8.3,1881
"Discovery Parks - Pilbara, Karratha",Karratha,Standard Motel Room,203,7.1,611
Waves Geraldton,Geraldton,One-Bedroom Villa,203,8.0,17
Karri Forest Motel,Pemberton,Standard Double Room,205,8.2,1345
Batavia Apartments,Perth,One-Bedroom Apartment,205,7.7,972
Dingup House,Manjimup,Double Room with Private Bathroom,205,8.8,254
Collie Ridge Resort,Collie,Deluxe Studio,205,8.3,736
Number 29 Adelaide Street,Fremantle,One-Bedroom Apartment,205,8.1,42
Tribe Perth,"West Perth, Perth",Tribe Standard Room,206,7.7,1439
Jarrah Valley Escape by Tiny Away,Bedfordale,Mobile Home,206,N/A,N/A
Pagoda Resort & Spa,"Como, Perth",Superior King Room,206,8.0,3177
Wambenger Lodge,Collie,Studio Apartment,207,9.2,100
Pecan Hill BNB,Toodyay,Deluxe Triple Room,207,9.4,223
Sleepy Hollow,Dawesville,Three-Bedroom Apartment,207,8.3,3
Hospitality Geraldton SureStay Collection by Best Western,Geraldton,Queen Room,208,8.2,2243
Crown Promenade Perth,"Burswood, Perth",Superior King Room,209,8.1,5352
East Perth Suites Hotel,"East Perth, Perth",Standard Studio,209,8.7,1838
Brookvale House Balingup,Balingup,One-Bedroom Cottage,210,8.9,314
Joondalup City Hotel,Perth,Executive Room,210,6.8,559
RAC Busselton Holiday Park,Busselton,Queen Studio,210,8.7,273
Pelican's Nest,Kalbarri,Studio,210,9.1,416
Albany Motel & Apartments,Albany,Executive Twin,210,8.5,852
St Catherine's on Park,Perth,Studio Apartment,211,8.2,113
Citadines St Georges Terrace Perth,"Perth CBD, Perth",Deluxe Studio,198,8.4,3152
Econo Lodge Karratha,Karratha,Standard Queen Room,213,7.9,317
Higgins Lane Motel,Margaret River Town,King Room with Roll-In Shower - Disability Access,213,8.3,1166
Novotel Vines Resort Swan Valley,Upper Swan,King Room,213,8.1,1507
Novotel Perth Murray Street,"Perth CBD, Perth",Standard Double Room with Two Double Beds,214,8.2,4311
Park Avenue Holiday Units,Albany,Deluxe One-Bedroom Apartment,215,8.8,503
The Sebel West Perth,"West Perth, Perth",Studio Apartment,215,8.5,1172
Nightcap at Wintersun Hotel,Geraldton,Studio Queen and Single Room,215,8.0,981
Hotham Ridge Estate,Wandering,One-Bedroom Cottage Nina,215,8.3,133
Blackwood Valley Suites,Balingup,Deluxe Studio,215,9.6,175
Edge Of The Forest Motel,Margaret River Town,King Room,215,9.1,434
Crowne Plaza Perth by IHG,"Perth CBD, Perth",Premium Double Room with Two Double Beds,216,7.7,2981
Nightcap at Belgian Beer Cafe,"Perth CBD, Perth",Studio Queen with Free Welcome Drink For Two Guests,216,8.3,1180
Cervantes Lodge,Cervantes,Double Room with Shared Bathroom,216,7.9,104
Lilacs Waterfront Villas & Cottages,Albany,Queen Suite - 11,216,8.2,420
Casa Jardin,Coodanup,Three-Bedroom House,216,N/A,N/A
Gecko Lodge Kalbarri,Kalbarri,Deluxe King Room,216,9.3,573
Fremantle Bed & Breakfast,Fremantle,Evelyn Room,217,9.0,621
LeVar - Rustic style accommodation with Ensuite and Mod Cons,Hoddy Well,Queen Room with Shared Bathroom,218,9.0,18
Geraldton Motor Inn,Geraldton,Queen Room with Balcony,219,8.3,917
Rydges Perth Kings Square,"Perth CBD, Perth",King Room,219,7.8,2249
Four Points by Sheraton Perth,"Perth CBD, Perth",Superior King Room,219,8.3,1899
RAC Margaret River Nature Park,Margaret River Town,Eco Safari Tent – Sleep 4,219,8.9,54
Bayview Geographe Resort Busselton,Busselton,Studio Villa,220,8.4,3998
Hotel Northbridge,Perth,Queen Room with Spa Bath,221,6.4,426
A Little Bit of Bliss by Tiny Away,Balingup,Mobile Home,221,7.0,2
Telperio - Guest suite max 4 Guests,Bunbury,2 Double Bedrooms,222,9.1,148
Private & Cosy! Master Bedroom in Perth with Garden View,Perth,King Room with Garden View,222,8.9,36
Discovery Parks - Port Hedland,Port Hedland,Economy Motel Room,223,7.7,632
Quest Mounts Bay Road,"Perth CBD, Perth",Studio Apartment,224,8.5,1434
Quest Perth Ascot,"Ascot, Perth",Studio,224,9.0,1281
Kalbarri Seafront Villas,Kalbarri,Studio Apartment,225,7.9,714
Discovery Parks Margaret River,Cowaramup,Standard Studio Cabin,225,8.8,163
31 on the Terrace,Denmark,Double Room - Paris,225,8.0,470
The Cove Holiday Village,Point Samson,King Studio,225,8.8,107
Bank-sia accommodation,Mount Barker,Double Room,225,N/A,N/A
Lily Lagoon Resort,Kununurra,Queen Room,225,6.6,88
A Mini Slice of Fremantle Rooms - Shared Amenities,Fremantle,N/A,225,7.9,8
Ascot Comfort,"Ascot, Perth",Deluxe Queen Room,226,8.9,140
Nightcap at Wanneroo Tavern,Wanneroo,Queen Studio,226,7.9,372
Margaret River Resort,Margaret River Town,King Pub Room,227,8.3,1951
Residence on Langley Park,"Perth CBD, Perth",Standard Twin,227,8.1,4536
Nightcap at the Ship Inn,Busselton,One-Bedroom Apartment,228,8.4,433
Pingelly Retreat Motel,Pingelly,Standard Queen Room,228,7.2,37
The Continental Hotel,Broome,King Terrace,229,8.2,1204
The African Reef,Geraldton,Studio with Garden View,229,8.1,827
Emu Beach Chalets,Albany,Two-Bedroom Cottage,229,8.7,299
Nutkin chalets,Bow Bridge,One-Bedroom Apartment,230,8.0,1
Guildford River Retreat,Perth,Superior Studio,230,8.6,254
Adina Apartment Hotel Perth Barrack Plaza,"Perth CBD, Perth",Studio,231,7.6,1491
Dolphin Lodge Albany - Self Contained Apartments at Middleton Beach,Albany,One-Bedroom Apartment,232,9.0,2640
RAC Monkey Mia Dolphin Resort,Monkey Mia,Budget Room with Shared Bathroom,234,8.7,1138
Karratha Central Apartments,Karratha,Deluxe Queen Room,237,8.2,272
Kimberley Croc Motel,Kununurra,Queen Room - Pet Friendly,237,8.0,384
The Federal Boutique Hotel,Fremantle,Double Room with Private Bathroom,238,7.2,1408
Sleepwell Motel,Albany,Comfort Double Room,238,7.5,1035
"The Merredin Treasury, Art Deco heritage 2 bedroom suite in Merredin CBD",Merredin,Two-Bedroom Apartment,239,8.0,4
Rendezvous Hotel Perth Scarborough,"Scarborough, Perth",Guest Room King,239,7.5,6959
The Gerald Apartment Hotel,Geraldton,Studio,239,8.2,989
Adina Apartment Hotel Perth,"Perth CBD, Perth",Premier One-Bedroom Apartment,239,8.2,1318
The Dairy - 2 Story Rustic style accommodation with Mod Cons,Hoddy Well,One-Bedroom Chalet,240,8.6,60
Pinnacles Edge Resort,Cervantes,Studio,240,7.6,1180
The Mains Guest House 2 Bedroom Farm Stay,Corrigin,Deluxe Queen Room,240,9.8,73
Grande Escape Resort,Margaret River Town,Queen Room,241,7.8,208
Aurea Hotel Perth Kings Park,"Perth CBD, Perth",Deluxe King Room,242,8.5,1702
The Sebel Mandurah,Mandurah,Superior King Room,242,8.5,2103
Quest Scarborough,"Scarborough, Perth",Studio,242,7.9,554
Comfortable Central Unit,Geraldton,Two-Bedroom Apartment,245,8.5,81
Ocean Beach Chalet 18,Jurien Bay,Two-Bedroom Chalet,245,8.4,113
The Melbourne Hotel,"Perth CBD, Perth",Heritage King Room,246,8.4,1522
Tasman Holiday Parks - Albany,Albany,Studio Cabin,227,8.7,789
Riverglen Chalets,Margaret River Town,One-Bedroom Chalet,249,9.0,674
Ganesha Wellness Spa,"East Perth, Perth",Deluxe King Studio,249,8.0,226
Riverview on Mount Street,"West Perth, Perth",Standard Studio,249,8.3,1234
"Ingot Hotel Perth, Ascend Hotel Collection",Perth,Superior Queen Room,249,8.8,4870
Mantra Frangipani Broome,Broome,One-Bedroom Apartment,249,8.6,718
Dolphin Quay Apartments,Mandurah,Studio Apartment,249,8.2,1412
Quality Inn Railway Motel,Kalgoorlie,Standard Double Room,249,8.3,244
Ningaloo Lodge Exmouth,Exmouth,Queen Room,250,8.5,1058
Bayside Villas,Walpole,Two-Bedroom House,250,7.5,505
The Hideaway Luxury B&B Retreat,Armadale,Deluxe Queen Suite,250,9.7,123
Seashells Yallingup,Yallingup,Studio,251,8.5,430
Ibis Styles Karratha,Karratha,Standard Queen Room,251,7.3,201
Quality Apartments Banksia Albany,Albany,King Studio,252,8.6,867
Elshaadai Homes,The Vines,Four-Bedroom House,252,8.2,4
Discovery Parks - Perth Airport,Perth,Standard Studio Cabin,253,8.7,617
Dog Rock Motel,Albany,Standard Queen Room,254,8.4,1651
Lot113 Vineyard Accommodation,Upper Swan,Queen Suite,255,9.7,173
Heritage Resort Shark Bay,Denham,King Room - Disability Access,256,7.4,398
The Swan Valley Hotel,Henley Brook,Standard King Room,257,7.9,111
Forest Lodge Resort,Pemberton,King Room with Garden View,257,8.4,948
The Timothée Resort,Busselton,Superior King Room,257,8.9,1148
Fremantle Port Mill Bed & Breakfast - Unique Accommodation,Fremantle,Zuytdorp Queen Room with Balcony,259,8.3,634
Bunbury Seaview Apartments,Bunbury,Budget Studio / Balcony or Courtyard / No sea view,259,8.5,959
Esplanade Hotel Fremantle - by Rydges,Fremantle,Superior Queen Room,260,7.7,5533
1B Forrest Street Apartments,Boulder,Two-Bedroom Apartment,261,N/A,N/A
Mahogany Inn and Distillery,Mahogany Creek,Deluxe Double with Patio,262,8.8,232
Prideau's of Margaret River,Margaret River Town,King Room with Courtyard - Ground Floor,262,9.2,1259
Stargazers Forest Hideaway,Beedelup,Two-Bedroom Chalet,264,N/A,N/A
Point Samson Resort,Point Samson,Deluxe Queen Room,264,9.2,128
The Lodge Motel Newman,Newman,One-Bedroom Apartment,264,7.0,2
The Adnate Perth - Art Series,"Perth CBD, Perth",Adnate King Room,265,8.6,2897
Holiday Inn Perth City Centre by IHG,"Perth CBD, Perth",Standard King Room,265,8.7,1325
Rosebridge House Bed & Breakfast Adult Retreat,Gooseberry Hill,The Autumn Queen Suite,265,9.2,170
Apartment 15 Burswood,Perth,One-Bedroom Apartment,265,4.5,2
Luxury & gives you it all,Perth,Three-Bedroom House,265,N/A,N/A
The Merredin Treasury Cottage,Merredin,One-Bedroom Apartment,265,10,1
Perth 2 BR Deluxe Apartment,Perth,Two-Bedroom Apartment,266,1.0,1
Quest Joondalup,Perth,Studio,266,8.9,1144
Bali Hai Resort & Spa,Broome,Studio,268,8.6,539
Joondalup Resort,Perth,Resort Twin Room,269,8.0,1808
Nesuto Mounts Bay,"Perth CBD, Perth",One-Bedroom Apartment,269,8.3,1942
Aloft Perth,Perth,Double Room - Aloft,269,8.8,2393
Wonil Hotel Perth - Handwritten Collection,Perth,Standard King Room,269,8.2,658
Vibe Hotel Subiaco Perth,"Subiaco, Perth",King Room,269,8.7,2789
Quest Kings Park,"West Perth, Perth",Studio Apartment,269,8.6,1300
Fothergills of Fremantle,Fremantle,Deluxe Double Room - Holdsworth,270,8.6,739
"Hilton Garden Inn Albany, WA",Albany,Twin Room,270,8.5,1860
Moonlight Bay Suites,Broome,One Bedroom Suite,270,9.0,978
Gallery Hotel,Fremantle,Double Room with Private External Bathroom,270,7.9,1183
Spinifex Hotel,Derby,Studio Apartment,270,7.5,319
The Kimberley Grande Resort,Kununurra,Terrace King Room,270,7.6,618
Harbour View 49 Urch Street Unit 1,Geraldton,Two-Bedroom Apartment,272,7.5,24
Masood Family Getaway Steps from CBD attractions,Bunbury,Two-Bedroom Apartment,272,7.5,26
Nice 2X1 Apartment,Kelmscott,Two-Bedroom Apartment,272,5.2,9
Seashells Broome,Broome,One-Bedroom Apartment,273,8.6,564
Hospitality Port Hedland,Port Hedland,Standard Double Room,274,8.0,658
Warmth house nr airport 2rooms 5beds Yard n parking,"Ascot, Perth",Two-Bedroom House,274,4.8,10
Quest Midland,Midland Junction,Studio Apartment,275,8.5,1093
Magnolia Cottage,Waroona,Queen Room,275,N/A,N/A
Fremantle Boutique Accommodation - Maand Up,Fremantle,King Room with Pool View - First Floor,275,8.5,727
Busselton Gale Street Motel & Villas,Busselton,Double Room - A,275,8.9,1036
Haven Studio Hideaway near Airport,Perth,Deluxe Queen Studio,276,9.1,53
Discovery Parks - Broome,Broome,Superior Studio Cabin - Sleeps 2,276,9.1,152
Nesuto Curtin Perth Hotel,Perth,Superior Double or Twin Room,277,8.5,691
Busselton Jetty Chalets,Busselton,Two-Bedroom Apartment,278,8.7,1085
Quest Fremantle,Fremantle,Studio,278,8.5,1846
Oaks Perth Hotel,"Perth CBD, Perth",Studio,279,7.8,2803
Alex Hotel,"Perth CBD, Perth",Queen Room,279,8.7,2537
Courtyard by Marriott Perth Murdoch,Fremantle,Double Room with Two Double Beds and Urban View,279,8.8,784
Lovely Studio Apartment in Downtown Albany,Albany,Studio Apartment,279,9.2,42
"Moon River, South Perth","South Perth, Perth",Two-Bedroom Apartment,279,8.7,13
The Lodge Motel South Hedland,South Hedland,Queen Studio,280,N/A,N/A
The Loft at Latitude 34,Gnarabup,One-Bedroom Loft Apartment with Balcony,280,9.3,13
Baileys Serviced Apartments,"Perth CBD, Perth",Deluxe One-Bedroom Apartment,280,8.2,877
Circle of Light Retreat,Kangaroo Gully,Two-Bedroom House,283,8.0,1
Cozy family 2B1B house nr airport,"Ascot, Perth",Two-Bedroom House,284,6.5,6
Comfort Inn & Suites Karratha,Karratha,One Bedroom Suite,285,8.8,141
Nice 2 bedroom apartment,Kelmscott,Two-Bedroom Apartment,285,5.5,12
Dhu North BnB Modern with Great Views,Jurien Bay,One-Bedroom Apartment,285,N/A,N/A
"Cosy, private guest house with pool and private parking",Rockingham,One-Bedroom House,286,8.7,7
The Billi Resort,Broome,Studio,286,9.1,452
Quite rooms in a quite street in Perth City,Perth,Double Room with Shared Bathroom,288,9.0,2
Crown Metropol Perth,"Burswood, Perth",Luxe King Room,289,8.3,3677
The Peninsula Riverside Serviced Apartments,"South Perth, Perth",Studio,289,8.3,1457
1A Forrest Street Apartment,Boulder,Two-Bedroom Apartment,290,N/A,N/A
Six Degrees Motel,Albany,Studio,293,7.7,645
Kulin Erindale Apartments,Kulin,Two-Bedroom Apartment,293,9.3,135
Kalgoorlie Central Accommodation,Kalgoorlie,Three-Bedroom Apartment,294,7.9,24
Farmers Home Hotel,Northam,Deluxe Double Room,295,8.6,683
Stay for Memories Unit 3,Mandurah,Two-Bedroom Apartment,295,7.8,64
Jaspers Cabins,Pemberton,Deluxe King Studio,298,9.2,283
Harbour View 49 Urch Street Unit 8,Geraldton,Two-Bedroom Apartment,299,8.3,66
Cozy house close to Everything,Kelmscott,Two-Bedroom House,299,2.0,2
Quality Resort Sorrento Beach,"Sorrento, Perth",Hotel Style Studio with Resort View,299,8.5,887
Esplanade Hotel Busselton,Busselton,Superior Queen Room with Two Queen Beds,299,8.5,553
Quest East Perth,"Perth CBD, Perth",Studio Apartment,299,8.1,434
Luxe Coastal Oasis,Mandurah,Two-Bedroom Apartment,300,8.9,9
Pelicans Albany Middleton Beach,Albany,Executive One-Bedroom Apartment,300,8.8,1548
Surfpoint Resort,Margaret River Town,Family Room with Bathroom,300,9.0,355
Be. Fremantle,Fremantle,Studio,303,8.7,1819
Pan Pacific Perth,"Perth CBD, Perth",Deluxe Twin Room,305,8.4,3338
Cozy family 2B1B house nr airport,Perth,Two-Bedroom House,307,10,1
Quest on Rheola,"West Perth, Perth",One-Bedroom Apartment - Disability Access,308,8.6,163
Freshwater East Kimberley Apartments,Kununurra,Studio (2 Adults),308,9.1,687
Gorgeous Family House near Shops,Perth,Three-Bedroom House,309,9.2,65
Abbey Beach Resort,Busselton,Studio with Spa Bath,310,7.7,1596
The Premier Mill Hotel,Katanning,King Room,310,9.0,751
Spacious 2B1BHouse nr airport backyard&carparking,Perth,Two-Bedroom House,310,7.7,3
B3-Cozy 2B1BHouse nr airport backyard&carparking,Perth,Two-Bedroom House,310,9.0,3
The Beach House At Bayside,Albany,Main House Queen,311,8.8,271
Watertree at Dalton's Paddock,Manjimup,One-Bedroom Chalet,311,9.9,9
Whitfords Retreat - 2 Bedroom unit,Perth,Two-Bedroom Villa,311,8.5,43
Exmouth Escape Resort,Exmouth,One-Bedroom Apartment,312,8.6,1266
Quest Bunbury,Bunbury,Studio Apartment,313,8.4,573
Seashells Mandurah,Mandurah,One-Bedroom Apartment,313,8.9,1465
A2-Family friendly 2B1BHouse nr airport backyard&carparking,Perth,Two-Bedroom House,314,N/A,N/A
QT Perth,"Perth CBD, Perth",King Room,314,8.6,2585
Oaks Broome Hotel,Broome,Hotel Room,315,7.8,824
Upper Reach Spa Cottage,Henley Brook,Villa,315,9.3,22
Paradiso Escape,Fremantle,Two-Bedroom Apartment,315,8.5,32
Cygnet Bay Pearl Farm,Dampier Peninsula,Pearlers Village Safari Tent,316,8.1,114
Ramada by Wyndham VetroBlu Scarborough Beach,"Scarborough, Perth","1 Queen Bed, Suite, Non-Smoking",316,7.8,760
The National Hotel,Fremantle,Deluxe Queen Room,316,8.7,753
Margaret River Bed & Breakfast,Margaret River Town,Ellenbrook Suite,318,8.8,159
Swan River Hotel,"Ascot, Perth",Deluxe Room with River View,319,7.2,1057
The Floating Forest,Denmark,Chalet,319,9.7,311
Mantra Geraldton,Geraldton,One-Bedroom Suite,319,6.6,1008
Ocean Centre Hotel,Geraldton,Double Room with Harbour View (Adults only),319,8.1,1190
Hedland Hotel,Port Hedland,Studio,319,7.2,284
Mandurah Quay Resort,Mandurah,Two-Bedroom Villa with Spa Bath,320,8.8,1329
Questro Breeze,Kalbarri,Three-Bedroom House,320,8.2,28
Quest Rockingham,Rockingham,Studio Apartment,322,8.5,994
B2-Spacious 2B1BHouse nr airport backyard&carparking,Perth,Two-Bedroom House,323,N/A,N/A
Windsurfer Beach Studio,Lancelin,One-Bedroom Apartment,324,6.2,15
Victoria Retreat,"Perth CBD, Perth",One-Bedroom Apartment,325,N/A,N/A
InterContinental Perth City Centre by IHG,"Perth CBD, Perth",Cosy King Room,326,8.8,1029
"Gypsy Van Tiny House with Unique Outdoor Bathroom, WIFI & Firepit",Coodanup,Tent,328,9.2,75
Hospitality Esperance SureStay Collection by Best Western,Esperance,Standard Queen Room,329,8.1,1825
"City & lakeside with free parking, pool and 10 mins walk into the City","Perth CBD, Perth",One-Bedroom Apartment,330,7.6,20
Geraldton Luxury Vacation Home with free Streaming,Geraldton,Holiday Home,333,9.1,34
Margarets In Town Apartments,Margaret River Town,Standard Room,334,8.6,2191
Yallingup Forest Resort,Yallingup,One-Bedroom Chalet,334,8.7,694
Caves House Hotel & Apartments Yallingup,Yallingup,Deluxe Queen Suite with Spa Bath,335,8.5,1041
RAC Karri Valley Resort,Pemberton,Queen Studio with Lake View,335,8.7,655
Somerville Secure Accommodation,Kalgoorlie,Triple Room with Private Bathroom,335,7.4,11
Guwarri Bayside Retreat,Broome,Two-Bedroom House,336,9.0,6
Maya Maya at Mandoon Estate,West Swan,Deluxe King or Twin Room with Terrace,337,8.8,1059
Duxton Hotel Perth,"Perth CBD, Perth",Deluxe Twin Room,340,8.8,3766
Broadwater Resort Como,"Como, Perth",One Bedroom Loft Apartment,342,8.3,1396
Peoples Park,Coral Bay,One-Bedroom Apartment,342,8.8,471
