Title,Address,Headline Room Type,Cost (AUD),Review Score,# of Reviews
Astor Hotel Motel,Albury,Queen Room,111,7.6,2445
Crestview Tourist Park,Queanbeyan,Studio,111,7.6,816
Glen Innes Motel,Glen Innes,Budget Double Room,111,8.7,1473
OVERLANDER MOTOR LODGE,Gunnedah,Queen Room,111,8.2,730
Bellbrook Historic Getaway at Bellmeadow Homestead,Pee Dee,Queen Room with Shared Bathroom,112,8.9,48
Hay Caravan Park,Hay,Studio,112,8.5,2
Peel Inn Hotel Nundle,Nundle,Double Room with Shared Bathroom,112,8.3,189
Grong Grong Motor Inn,Grong Grong,Double Room,112,6.2,294
The Oriental Hotel,Newcastle,Queen Room with Shared Bathroom,113,8.1,725
Hotel Koorawatha garden unit - ground floor,Koorawatha,One-Bedroom Apartment,113,9.0,1
Ardeanal Motel,West Wyalong,Budget Double Room,113,6.9,1157
Granville Hotel,Sydney,Economy Queen with Shared Facilities,113,6.2,646
Kosciusko Tourist Park,Jindabyne,Standard Bungalow - Cedar Cabins,114,7.9,253
Burke and Wills Motor Inn,Moree,Standard Double Room,114,7.2,798
The Peakhurst,Peakhurst,Superior Queen Room,114,8.6,383
Angel's Rest Motel,Moree,Queen Room - Pets Not Allowed,114,8.0,759
Windsor Motel,Windsor,Standard Double Room,114,3.8,335
Kearsley Hotel,Cessnock,Standard Twin Room,114,6.4,231
The Cottage location is an ideal stay for Mountain Biking The Cottage location is an ideal stay for Mountain Biking,Paxton,Two-Bedroom Villa,114,N/A,N/A
Mad Monkey East Side,"Potts Point, Sydney",Bed in 12-Bed Mixed Dormitory Room,115,7.8,172
Castlereagh Motor Inn,Gilgandra,Standard Queen Room,115,8.4,831
Coast Motel Eden,Eden,Standard Triple Room,115,8.1,1468
Hunter Valley Motel,Cessnock,Deluxe Queen Room,115,7.6,603
Carlton Suites,Goulburn,Deluxe Queen Room,115,7.6,1828
Gardners Inn Hotel,Blackheath,Double Room with Shared Bathroom,115,7.8,885
Cumberland Motor Inn,Cessnock,Deluxe Queen Room,115,7.5,893
Peter Allen Motor Inn,Tenterfield,Standard Queen Room,115,7.7,941
Tamworth Lodge Motel,Tamworth,Economy Double Room,115,7.0,821
Orana Windmill Motel,Gilgandra,Queen Room,115,7.9,263
Parkway Motel,Queanbeyan,Double Room,115,8.1,120
Criterion Hotel Gundagai,Gundagai,Queen Room with Shared Bathroom,115,7.9,420
Gunnedah Tourist Caravan Park,Gunnedah,Standard Cabin (AMENITIES SEPARATE),115,8.0,25
Parkes Hotel,Parkes,Economy Double Room with Shared Bathroom,115,7.3,127
Cambridge Lodge,Sydney,Double Room with Shared Bathroom,115,7.2,818
B Banana Room,Sydney,Double Room,115,N/A,N/A
D Durian Room,Sydney,Double Room,115,N/A,N/A
Canberra Ave Villas,Queanbeyan,Studio with Terrace,116,8.3,626
The Lodge Outback Motel,Broken Hill,Budget Double Room,116,7.1,425
Art Shack @ Wilgabah,Wallabadah,Budget Double Room,118,8.6,93
Family Hotel,Bathurst,Twin Room with Shared Bathroom,118,7.3,221
Clarence Head Caravan Park,Iluka,Double Room (Not Pet Friendly),118,8.7,730
Alpine Heritage Motel,Goulburn,Budget Double Room,118,4.8,939
Panorama Motor Inn,Newcastle,Standard Queen Room,118,6.5,636
Comfort Inn Serenity Bathurst,Bathurst,Double Room - Non Smoking,118,7.7,497
Tequila Sunrise Potts Point,"Potts Point, Sydney",Pod in mixed Dormitory Room,118,8.3,937
Emu Creek Retreat,Tabulam,Double Room,118,7.4,15
